Entity,Code,Year,Patent applications per 1 million people - Field: All
Malaysia,MYS,2017,0.52541125
Malaysia,MYS,2018,0.33423558
Malaysia,MYS,2019,0.05980765
Mexico,MEX,2014,0.17531525
Mexico,MEX,2015,0.3881979
Mexico,MEX,2016,0.5235118
Mexico,MEX,2017,0.5672609
Mexico,MEX,2018,0.73851883
Mexico,MEX,2019,0.8428557
Morocco,MAR,2014,0.08770714
Morocco,MAR,2015,0.05779088
Morocco,MAR,2016,0.085656986
Morocco,MAR,2017,0.14105825
Morocco,MAR,2018,0.1953141
Morocco,MAR,2019,0.19331218
Netherlands,NLD,2014,0.058719765
Netherlands,NLD,2015,0.2922715
Netherlands,NLD,2016,0.34874308
Netherlands,NLD,2017,0.2887614
Netherlands,NLD,2018,0.7462156
Netherlands,NLD,2019,1.3684992
New Zealand,NZL,2014,1.1054798
New Zealand,NZL,2015,3.9011805
New Zealand,NZL,2016,0.6363038
New Zealand,NZL,2017,2.9089675
New Zealand,NZL,2018,2.4485824
New Zealand,NZL,2019,1.6034101
Norway,NOR,2014,0.38930568
Norway,NOR,2016,0.5729638
Norway,NOR,2017,0.37902054
Norway,NOR,2018,1.1295812
Norway,NOR,2019,0.93498313
Oman,OMN,2016,0.22774701
Panama,PAN,2016,0.49639714
Peru,PER,2015,0.06566516
Peru,PER,2016,0.09719292
Peru,PER,2018,0.12540151
Peru,PER,2019,0.09245204
Philippines,PHL,2015,0.03798204
Philippines,PHL,2016,0.02810682
Philippines,PHL,2017,0.009249013
Philippines,PHL,2018,0.018270642
Philippines,PHL,2019,0.063174255
Poland,POL,2014,0.20906799
Poland,POL,2015,0.49652088
Poland,POL,2016,0.47042584
Poland,POL,2017,0.3659661
Poland,POL,2018,0.54914856
Poland,POL,2019,0.47088572
Portugal,PRT,2014,0.09609704
Portugal,PRT,2015,0.48214975
Portugal,PRT,2016,0.9665265
Portugal,PRT,2017,0.58078843
Portugal,PRT,2018,1.0653436
Portugal,PRT,2019,0.3867287
Romania,ROU,2015,0.30194804
Romania,ROU,2016,0.101127565
Romania,ROU,2017,0.2539443
Romania,ROU,2018,0.25513038
Romania,ROU,2019,0.30766866
Russia,RUS,2014,0.5727077
Russia,RUS,2015,0.6744315
Russia,RUS,2016,0.9397812
Russia,RUS,2017,1.2449828
Russia,RUS,2018,1.4341315
Russia,RUS,2019,1.1533238
Saudi Arabia,SAU,2018,0.06586516
Serbia,SRB,2014,0.13836701
Serbia,SRB,2015,0.13932978
Serbia,SRB,2016,0.28066102
Serbia,SRB,2017,0.2827472
Serbia,SRB,2018,0.71225476
Serbia,SRB,2019,0.57420933
Singapore,SGP,2014,6.7792187
Singapore,SGP,2015,5.9725275
Singapore,SGP,2016,9.143239
Singapore,SGP,2017,19.985579
Singapore,SGP,2018,35.67429
Singapore,SGP,2019,26.633741
Slovakia,SVK,2015,0.73797727
Slovenia,SVN,2015,0.9709214
Slovenia,SVN,2016,1.4553717
Slovenia,SVN,2018,2.8993478
South Africa,ZAF,2014,0.053961884
South Africa,ZAF,2016,0.052393056
South Africa,ZAF,2017,0.052051608
South Africa,ZAF,2018,0.08530538
South Africa,ZAF,2019,0.01678195
South Korea,KOR,2014,7.241931
South Korea,KOR,2015,8.983235
South Korea,KOR,2016,22.652046
South Korea,KOR,2017,46.16769
South Korea,KOR,2018,80.8275
South Korea,KOR,2019,127.60831
Spain,ESP,2014,0.74914163
Spain,ESP,2015,0.87825215
Spain,ESP,2016,1.2197024
Spain,ESP,2017,1.4935391
Spain,ESP,2018,1.7624788
Spain,ESP,2019,1.3913755
Sri Lanka,LKA,2016,0.04563978
Sweden,SWE,2014,0.30939353
Sweden,SWE,2015,0.6122801
Sweden,SWE,2016,1.2092841
Sweden,SWE,2017,1.0936773
Sweden,SWE,2018,3.0465765
Sweden,SWE,2019,1.5565614
Switzerland,CHE,2014,0.48838982
Switzerland,CHE,2015,0.36214858
Switzerland,CHE,2016,0.4776201
Switzerland,CHE,2017,0.23658632
Switzerland,CHE,2018,0.46968776
Switzerland,CHE,2019,0.23316866
Taiwan,TWN,2014,1.533693
Taiwan,TWN,2015,1.9975171
Taiwan,TWN,2016,4.1549907
Taiwan,TWN,2017,7.870382
Taiwan,TWN,2018,15.046966
Taiwan,TWN,2019,21.035658
Thailand,THA,2017,0.01405281
Turkey,TUR,2014,0.025629163
Turkey,TUR,2015,0.049991146
Turkey,TUR,2016,0.09797673
Turkey,TUR,2017,0.13239674
Turkey,TUR,2018,0.21322991
Turkey,TUR,2019,0.29288542
Ukraine,UKR,2014,0.47854874
Ukraine,UKR,2015,0.26209542
Ukraine,UKR,2016,0.08768703
Ukraine,UKR,2017,0.044017963
Ukraine,UKR,2018,0.088478245
Ukraine,UKR,2019,0.044486556
United Kingdom,GBR,2014,1.0791501
United Kingdom,GBR,2015,1.4071138
United Kingdom,GBR,2016,2.8530972
United Kingdom,GBR,2017,4.1594815
United Kingdom,GBR,2018,6.097157
United Kingdom,GBR,2019,6.2880983
United States,USA,2014,8.501609
United States,USA,2015,12.102668
United States,USA,2016,18.840792
United States,USA,2017,29.897238
United States,USA,2018,40.202183
United States,USA,2019,43.17179
Uruguay,URY,2017,0.29512444
World,OWID_WRL,2014,0.9336709
World,OWID_WRL,2015,1.3759469
World,OWID_WRL,2016,2.4582744
World,OWID_WRL,2017,4.2133937
World,OWID_WRL,2018,6.849504
World,OWID_WRL,2019,9.424943
